,02 성별,06_나이_반올림,001_오른쪽어깨경사각,002_왼쪽어깨경사각,003_키,005_목뒤높이,017_샅높이,031_몸무게,037_목둘레,038_목밑둘레,039_가슴둘레,040_젖가슴둘레,042_허리둘레,043_배꼽수준허리둘레,044_배둘레,045_엉덩이둘레,052_총길이,054_어깨사이길이,055_어깨가쪽사이길이,063_위팔길이,064_팔길이,065_팔안쪽길이,069_다리가쪽길이,111_머리둘레,121_넙다리둘레,122_넙다리중간둘레,123_무릎둘레,125_장딴지둘레,130_위팔둘레,131_팔꿈치둘레
3421,남,38,19.0,15.0,"1,750","1,503",796.0,80.1,393.0,450.0,"1,006",992,877,900,910,"1,010","1,522",446.0,430.0,355.0,606.0,500.0,"1,060",592.0,605.0,539.0,398.0,378.0,355.0,303.0
3422,남,39,20.0,20.0,"1,805","1,567",823.0,94.3,398.0,461.0,"1,044","1,033",990,"1,019","1,012","1,045","1,590",462.0,451.0,360.0,643.0,535.0,"1,118",561.0,630.0,576.0,404.0,432.0,340.0,306.0
3423,남,35,20.0,15.0,"1,682","1,429",747.0,69.8,372.0,417.0,974,956,834,850,858,947,"1,445",427.0,420.0,330.0,581.0,488.0,"1,004",568.0,570.0,510.0,367.0,383.0,320.0,285.0
3424,남,38,19.0,23.0,"1,675","1,445",745.0,73.6,390.0,442.0,"1,030",997,834,827,829,960,"1,465",415.0,414.0,337.0,581.0,488.0,"1,018",562.0,589.0,535.0,378.0,388.0,340.0,304.0
3425,남,38,19.0,15.0,"1,780","1,525",813.0,85.4,406.0,460.0,"1,035","1,000",951,971,966,"1,032","1,541",444.0,439.0,357.0,622.0,525.0,"1,093",602.0,617.0,537.0,392.0,377.0,342.0,287.0
3426,남,38,19.0,19.0,"1,785","1,521",789.0,84.0,385.0,443.0,"1,027","1,005",871,891,895,996,"1,539",445.0,440.0,353.0,610.0,501.0,"1,072",598.0,610.0,543.0,379.0,407.0,350.0,314.0
3427,남,37,17.0,14.0,"1,725","1,486",797.0,75.9,382.0,435.0,988,945,812,837,837,"1,005","1,506",427.0,425.0,332.0,578.0,490.0,"1,071",580.0,607.0,552.0,383.0,398.0,311.0,273.0
3428,남,36,17.0,17.0,"1,690","1,441",783.0,79.3,412.0,455.0,"1,037","1,010",916,914,910,991,"1,470",449.0,425.0,346.0,603.0,502.0,"1,029",593.0,592.0,530.0,370.0,377.0,363.0,318.0
3429,남,40,19.0,15.0,"1,800","1,550",816.0,83.1,395.0,450.0,"1,018",992,915,908,911,"1,020","1,569",486.0,468.0,357.0,617.0,505.0,"1,095",552.0,625.0,529.0,396.0,399.0,322.0,302.0
3430,남,36,20.0,20.0,"1,793","1,536",819.0,60.4,353.0,413.0,903,860,702,718,720,905,"1,555",423.0,422.0,343.0,605.0,523.0,"1,093",548.0,510.0,463.0,352.0,343.0,278.0,287.0
